,nEff,nResp,step,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,ourNumEdges,ourNumZeroEdges,ourNumPosEdges,ourNumSigMoreEdges,DiffEdges,dfgNumEdges80,dfgNumEdges100,sdE1,sdE2,sdE3,sdE4,sda
23,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.19,0.02,0.42,0.37,8,2,6,4,8,5.0,10.0,0.10392304845413264,0.005773502691896258,0.24248711305964282,0.3521836642056717,0.1761
24,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.18,0.01,0.62,0.19,8,2,6,4,8,5.0,10.0,0.09814954576223638,0.0,0.35795716689756796,0.4561067126598043,0.2281
25,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.18,0.03,0.78,0.01,8,2,6,4,8,5.0,10.0,0.09814954576223638,0.011547005383792514,0.45033320996790815,0.560029761113937,0.28
26,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.21,0.21,0.01,0.57,7,0,7,4,7,5.0,10.0,0.11547005383792515,0.11547005383792515,0.005773502691896258,0.23671361036774657,0.1184
27,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.22,0.21,0.17,0.4,9,1,8,5,9,6.0,10.0,0.12124355652982141,0.11547005383792515,0.09814954576223639,0.3348631561299829,0.1674
28,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.21,0.2,0.38,0.21,10,2,8,5,10,6.0,10.0,0.11547005383792515,0.10969655114602891,0.2193931022920578,0.44455970727601185,0.2223
29,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.2,0.18,0.58,0.04,10,2,8,5,10,6.0,10.0,0.10969655114602891,0.09814954576223638,0.3348631561299829,0.5427092530382482,0.2714
30,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.2,0.41,0.01,0.38,8,0,8,4,8,5.0,10.0,0.10969655114602891,0.23094010767585027,0.005773502691896258,0.34641016151377546,0.1732
31,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.19,0.38,0.23,0.2,11,2,9,5,11,6.0,10.0,0.10392304845413264,0.21361959960016155,0.13279056191361394,0.4503332099679081,0.2252
32,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.22,0.4,0.38,0.0,11,3,8,5,11,5.0,9.0,0.12124355652982141,0.22516660498395408,0.2193931022920578,0.5658032638058332,0.2829
33,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.22,0.57,0.01,0.2,8,0,8,4,8,5.0,10.0,0.12124355652982141,0.3233161507461904,0.005773502691896258,0.4503332099679081,0.2252
34,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.17,0.6,0.22,0.01,10,2,8,5,10,5.0,10.0,0.09237604307034013,0.34063665882187916,0.12701705922171766,0.560029761113937,0.28
35,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.19,0.8,0.01,0.0,8,1,7,4,8,4.0,9.0,0.10392304845413264,0.45610671265980435,0.005773502691896258,0.5658032638058332,0.2829
36,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.4,0.01,0.02,0.57,6,0,6,3,6,4.0,10.0,0.22516660498395408,0.0,0.011547005383792516,0.23671361036774657,0.1184
